model_label,prompt_mode,target_passage_tokens,num_needles,requests,exact_correct,accuracy,parse_success_rate,truncation_rate
Gemma4-12B,enumeration,10000,30,10,5,0.5,0.8,0.0
Gemma4-12B,enumeration,10000,3,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,10000,4,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,10000,5,10,9,0.9,1.0,0.0
Gemma4-12B,enumeration,10000,6,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,10000,8,10,7,0.7,0.9,0.1
Gemma4-12B,enumeration,2000,10,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,1,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,20,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,2,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,30,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,3,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,4,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,5,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,6,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,2000,8,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,5000,10,10,9,0.9,1.0,0.0
Gemma4-12B,enumeration,5000,1,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,5000,20,10,6,0.6,0.8,0.0
Gemma4-12B,enumeration,5000,2,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,5000,30,10,6,0.6,1.0,0.0
Gemma4-12B,enumeration,5000,3,10,10,1.0,1.0,0.0
Gemma4-12B,enumeration,5000,4,10,9,0.9,1.0,0.0
Gemma4-12B,enumeration,5000,5,10,8,0.8,1.0,0.0
Gemma4-12B,enumeration,5000,6,10,9,0.9,1.0,0.0
Gemma4-12B,enumeration,5000,8,10,9,0.9,1.0,0.0
Gemma4-12B,native_thinking,10000,10,10,4,0.4,0.4,0.6
Gemma4-12B,native_thinking,10000,1,10,5,0.5,0.5,0.5
Gemma4-12B,native_thinking,10000,20,10,3,0.3,0.3,0.7
Gemma4-12B,native_thinking,10000,2,10,4,0.4,0.4,0.6
Gemma4-12B,native_thinking,10000,30,10,1,0.1,0.1,0.9
Gemma4-12B,native_thinking,10000,3,10,4,0.4,0.4,0.6
Gemma4-12B,native_thinking,10000,4,10,2,0.2,0.2,0.8
Gemma4-12B,native_thinking,10000,5,10,4,0.4,0.4,0.6
Gemma4-12B,native_thinking,10000,6,10,4,0.4,0.4,0.6
Gemma4-12B,native_thinking,10000,8,10,2,0.2,0.2,0.8
Gemma4-12B,native_thinking,2000,10,10,9,0.9,0.9,0.1
Gemma4-12B,native_thinking,2000,1,10,10,1.0,1.0,0.0
Gemma4-12B,native_thinking,2000,20,10,8,0.8,0.8,0.2
Gemma4-12B,native_thinking,2000,2,10,10,1.0,1.0,0.0
Gemma4-12B,native_thinking,2000,30,10,9,0.9,0.9,0.1
Gemma4-12B,native_thinking,2000,3,10,10,1.0,1.0,0.0
Gemma4-12B,native_thinking,2000,4,10,9,0.9,0.9,0.1
Gemma4-12B,native_thinking,2000,5,10,9,0.9,0.9,0.1
Gemma4-12B,native_thinking,2000,6,10,8,0.8,0.8,0.2
Gemma4-12B,native_thinking,2000,8,10,9,0.9,0.9,0.1
Gemma4-12B,native_thinking,5000,10,10,6,0.6,0.6,0.4
Gemma4-12B,native_thinking,5000,1,10,6,0.6,0.8,0.2
Gemma4-12B,native_thinking,5000,20,10,2,0.2,0.2,0.8
Gemma4-12B,native_thinking,5000,2,10,6,0.6,0.9,0.1
Gemma4-12B,native_thinking,5000,30,10,4,0.4,0.5,0.5
Gemma4-12B,native_thinking,5000,3,10,7,0.7,0.7,0.3
Gemma4-12B,native_thinking,5000,4,10,5,0.5,0.6,0.4
Gemma4-12B,native_thinking,5000,5,10,5,0.5,0.5,0.5
Gemma4-12B,native_thinking,5000,6,10,6,0.6,0.7,0.3
Gemma4-12B,native_thinking,5000,8,10,4,0.4,0.5,0.5
OLMo-Hybrid-7B,direct,10000,10,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,10000,1,10,7,0.7,1.0,0.0
OLMo-Hybrid-7B,direct,10000,20,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,direct,10000,2,10,7,0.7,1.0,0.0
OLMo-Hybrid-7B,direct,10000,30,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,10000,3,10,8,0.8,1.0,0.0
OLMo-Hybrid-7B,direct,10000,4,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,10000,5,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,10000,6,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,10000,8,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,direct,2000,10,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,direct,2000,1,10,10,1.0,1.0,0.0
OLMo-Hybrid-7B,direct,2000,20,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,direct,2000,2,10,10,1.0,1.0,0.0
OLMo-Hybrid-7B,direct,2000,30,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,2000,3,10,8,0.8,1.0,0.0
OLMo-Hybrid-7B,direct,2000,4,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,2000,5,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,2000,6,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,2000,8,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,5000,10,10,1,0.1,1.0,0.0
OLMo-Hybrid-7B,direct,5000,1,10,9,0.9,1.0,0.0
OLMo-Hybrid-7B,direct,5000,20,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,direct,5000,2,10,7,0.7,1.0,0.0
OLMo-Hybrid-7B,direct,5000,30,10,2,0.2,1.0,0.0
OLMo-Hybrid-7B,direct,5000,3,10,6,0.6,1.0,0.0
OLMo-Hybrid-7B,direct,5000,4,10,8,0.8,1.0,0.0
OLMo-Hybrid-7B,direct,5000,5,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,direct,5000,6,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,direct,5000,8,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,10,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,1,10,9,0.9,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,20,10,0,0.0,0.8,0.2
OLMo-Hybrid-7B,enumeration,10000,2,10,8,0.8,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,30,10,0,0.0,0.7,0.3
OLMo-Hybrid-7B,enumeration,10000,3,10,6,0.6,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,4,10,1,0.1,1.0,0.0
OLMo-Hybrid-7B,enumeration,10000,5,10,3,0.3,0.9,0.1
OLMo-Hybrid-7B,enumeration,10000,6,10,4,0.4,0.9,0.1
OLMo-Hybrid-7B,enumeration,10000,8,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,enumeration,2000,10,10,3,0.3,0.9,0.1
OLMo-Hybrid-7B,enumeration,2000,1,10,10,1.0,1.0,0.0
OLMo-Hybrid-7B,enumeration,2000,20,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,enumeration,2000,2,10,8,0.8,0.9,0.1
OLMo-Hybrid-7B,enumeration,2000,30,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,enumeration,2000,3,10,6,0.6,0.8,0.2
OLMo-Hybrid-7B,enumeration,2000,4,10,2,0.2,0.8,0.2
OLMo-Hybrid-7B,enumeration,2000,5,10,5,0.5,0.9,0.1
OLMo-Hybrid-7B,enumeration,2000,6,10,3,0.3,0.9,0.1
OLMo-Hybrid-7B,enumeration,2000,8,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,10,10,3,0.3,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,1,10,9,0.9,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,20,10,1,0.1,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,2,10,8,0.8,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,30,10,1,0.1,0.9,0.1
OLMo-Hybrid-7B,enumeration,5000,3,10,5,0.5,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,4,10,1,0.1,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,5,10,4,0.4,0.9,0.0
OLMo-Hybrid-7B,enumeration,5000,6,10,4,0.4,1.0,0.0
OLMo-Hybrid-7B,enumeration,5000,8,10,1,0.1,1.0,0.0
Llama3.1-8B,direct,10000,10,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,10000,1,10,5,0.5,0.8,0.0
Llama3.1-8B,direct,10000,20,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,10000,2,10,5,0.5,0.8,0.0
Llama3.1-8B,direct,10000,30,10,0,0.0,0.9,0.1
Llama3.1-8B,direct,10000,3,10,4,0.4,0.9,0.0
Llama3.1-8B,direct,10000,4,10,2,0.2,1.0,0.0
Llama3.1-8B,direct,10000,5,10,4,0.4,1.0,0.0
Llama3.1-8B,direct,10000,6,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,10000,8,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,2000,10,10,2,0.2,1.0,0.0
Llama3.1-8B,direct,2000,1,10,7,0.7,1.0,0.0
Llama3.1-8B,direct,2000,20,10,2,0.2,1.0,0.0
Llama3.1-8B,direct,2000,2,10,10,1.0,1.0,0.0
Llama3.1-8B,direct,2000,30,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,2000,3,10,10,1.0,1.0,0.0
Llama3.1-8B,direct,2000,4,10,4,0.4,1.0,0.0
Llama3.1-8B,direct,2000,5,10,5,0.5,1.0,0.0
Llama3.1-8B,direct,2000,6,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,2000,8,10,2,0.2,1.0,0.0
Llama3.1-8B,direct,5000,10,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,5000,1,10,5,0.5,1.0,0.0
Llama3.1-8B,direct,5000,20,10,1,0.1,1.0,0.0
Llama3.1-8B,direct,5000,2,10,6,0.6,1.0,0.0
Llama3.1-8B,direct,5000,30,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,5000,3,10,4,0.4,1.0,0.0
Llama3.1-8B,direct,5000,4,10,3,0.3,1.0,0.0
Llama3.1-8B,direct,5000,5,10,3,0.3,1.0,0.0
Llama3.1-8B,direct,5000,6,10,0,0.0,1.0,0.0
Llama3.1-8B,direct,5000,8,10,0,0.0,1.0,0.0
Llama3.1-8B,enumeration,10000,10,10,5,0.5,0.6,0.0
Llama3.1-8B,enumeration,10000,1,10,5,0.5,0.6,0.0
Llama3.1-8B,enumeration,10000,20,10,5,0.5,0.9,0.0
Llama3.1-8B,enumeration,10000,2,10,2,0.2,0.4,0.0
Llama3.1-8B,enumeration,10000,30,10,2,0.2,0.9,0.0
Llama3.1-8B,enumeration,10000,3,10,0,0.0,0.0,0.0
Llama3.1-8B,enumeration,10000,4,10,0,0.0,0.2,0.0
Llama3.1-8B,enumeration,10000,5,10,2,0.2,0.2,0.0
Llama3.1-8B,enumeration,10000,6,10,3,0.3,0.3,0.0
Llama3.1-8B,enumeration,10000,8,10,2,0.2,0.2,0.0
Llama3.1-8B,enumeration,2000,10,10,3,0.3,0.5,0.0
Llama3.1-8B,enumeration,2000,1,10,5,0.5,0.6,0.1
Llama3.1-8B,enumeration,2000,20,10,7,0.7,0.7,0.0
Llama3.1-8B,enumeration,2000,2,10,3,0.3,0.5,0.0
Llama3.1-8B,enumeration,2000,30,10,9,0.9,0.9,0.0
Llama3.1-8B,enumeration,2000,3,10,2,0.2,0.4,0.0
Llama3.1-8B,enumeration,2000,4,10,4,0.4,0.6,0.0
Llama3.1-8B,enumeration,2000,5,10,4,0.4,0.4,0.0
Llama3.1-8B,enumeration,2000,6,10,2,0.2,0.3,0.0
Llama3.1-8B,enumeration,2000,8,10,3,0.3,0.4,0.0
Llama3.1-8B,enumeration,5000,10,10,6,0.6,0.7,0.0
Llama3.1-8B,enumeration,5000,1,10,3,0.3,0.3,0.1
Llama3.1-8B,enumeration,5000,20,10,6,0.6,0.8,0.0
Llama3.1-8B,enumeration,5000,2,10,4,0.4,0.4,0.0
Llama3.1-8B,enumeration,5000,30,10,2,0.2,0.8,0.0
Llama3.1-8B,enumeration,5000,3,10,0,0.0,0.1,0.0
Llama3.1-8B,enumeration,5000,4,10,0,0.0,0.2,0.0
Llama3.1-8B,enumeration,5000,5,10,3,0.3,0.3,0.0
Llama3.1-8B,enumeration,5000,6,10,2,0.2,0.3,0.0
Llama3.1-8B,enumeration,5000,8,10,4,0.4,0.4,0.0
Llama3.2-3B,direct,10000,10,10,0,0.0,0.7,0.3
Llama3.2-3B,direct,10000,1,10,6,0.6,0.6,0.0
Llama3.2-3B,direct,10000,20,10,1,0.1,0.7,0.3
Llama3.2-3B,direct,10000,2,10,4,0.4,0.6,0.1
Llama3.2-3B,direct,10000,30,10,0,0.0,0.8,0.2
Llama3.2-3B,direct,10000,3,10,3,0.3,0.8,0.1
Llama3.2-3B,direct,10000,4,10,5,0.5,0.8,0.1
Llama3.2-3B,direct,10000,5,10,1,0.1,0.7,0.2
Llama3.2-3B,direct,10000,6,10,0,0.0,0.7,0.2
Llama3.2-3B,direct,10000,8,10,1,0.1,0.5,0.3
Llama3.2-3B,direct,2000,10,10,2,0.2,1.0,0.0
Llama3.2-3B,direct,2000,1,10,10,1.0,1.0,0.0
Llama3.2-3B,direct,2000,20,10,2,0.2,0.9,0.1
Llama3.2-3B,direct,2000,2,10,4,0.4,1.0,0.0
Llama3.2-3B,direct,2000,30,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,2000,3,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,2000,4,10,5,0.5,1.0,0.0
Llama3.2-3B,direct,2000,5,10,1,0.1,1.0,0.0
Llama3.2-3B,direct,2000,6,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,2000,8,10,2,0.2,1.0,0.0
Llama3.2-3B,direct,5000,10,10,1,0.1,0.9,0.1
Llama3.2-3B,direct,5000,1,10,9,0.9,1.0,0.0
Llama3.2-3B,direct,5000,20,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,5000,2,10,4,0.4,1.0,0.0
Llama3.2-3B,direct,5000,30,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,5000,3,10,2,0.2,1.0,0.0
Llama3.2-3B,direct,5000,4,10,4,0.4,1.0,0.0
Llama3.2-3B,direct,5000,5,10,0,0.0,1.0,0.0
Llama3.2-3B,direct,5000,6,10,0,0.0,0.9,0.1
Llama3.2-3B,direct,5000,8,10,3,0.3,0.9,0.1
Llama3.2-3B,enumeration,10000,10,10,0,0.0,0.0,0.0
Llama3.2-3B,enumeration,10000,1,10,3,0.3,0.4,0.0
Llama3.2-3B,enumeration,10000,20,10,0,0.0,0.2,0.0
Llama3.2-3B,enumeration,10000,2,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,10000,30,10,0,0.0,0.1,0.2
Llama3.2-3B,enumeration,10000,3,10,0,0.0,0.3,0.0
Llama3.2-3B,enumeration,10000,4,10,0,0.0,0.3,0.0
Llama3.2-3B,enumeration,10000,5,10,0,0.0,0.2,0.0
Llama3.2-3B,enumeration,10000,6,10,0,0.0,0.2,0.1
Llama3.2-3B,enumeration,10000,8,10,0,0.0,0.1,0.0
Llama3.2-3B,enumeration,2000,10,10,0,0.0,0.2,0.0
Llama3.2-3B,enumeration,2000,1,10,0,0.0,0.1,0.2
Llama3.2-3B,enumeration,2000,20,10,2,0.2,0.6,0.0
Llama3.2-3B,enumeration,2000,2,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,2000,30,10,6,0.6,0.6,0.0
Llama3.2-3B,enumeration,2000,3,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,2000,4,10,0,0.0,0.6,0.0
Llama3.2-3B,enumeration,2000,5,10,0,0.0,0.3,0.1
Llama3.2-3B,enumeration,2000,6,10,0,0.0,0.4,0.0
Llama3.2-3B,enumeration,2000,8,10,0,0.0,0.0,0.0
Llama3.2-3B,enumeration,5000,10,10,1,0.1,0.3,0.0
Llama3.2-3B,enumeration,5000,1,10,0,0.0,0.2,0.1
Llama3.2-3B,enumeration,5000,20,10,0,0.0,0.3,0.0
Llama3.2-3B,enumeration,5000,2,10,0,0.0,0.5,0.1
Llama3.2-3B,enumeration,5000,30,10,0,0.0,0.3,0.3
Llama3.2-3B,enumeration,5000,3,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,5000,4,10,0,0.0,0.3,0.1
Llama3.2-3B,enumeration,5000,5,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,5000,6,10,0,0.0,0.5,0.0
Llama3.2-3B,enumeration,5000,8,10,0,0.0,0.3,0.0
